buffer_ID,begin,end,distance,angle,_count,_sum,%_low_green,%_canopy,%_total_green,mean_temp,mean_DBH,mean_SLA,mean_SLA_weighted,shann_div
1,7291,9464,0,289.49001,6408,624,0.097378277,0.244108007,0.341486284,23.972222,46.27,26.03041766,26.8813869,1.436122069
2,7291,9464,85,307.1610322,6407,664,0.103636647,0.374180456,0.477817103,23.877143,46.23571429,26.07592857,28.46318245,1.560487353
3,7291,9464,170,303.6390957,6408,938,0.146379526,0.296284733,0.442664259,23.977692,46.67,24.63808831,24.25045207,1.520647865
4,7291,9464,255,301.0553576,6406,1259,0.196534499,0.30128005,0.497814549,23.957143,54.2,27.83057518,27.6763888,1.625057433
5,7291,9464,340,297.7758652,6408,1405,0.219257179,0.459328649,0.678585828,23.964286,68.92,28.33877502,28.6595069,1.432259525
6,7291,9464,425,296.1348131,6408,734,0.11454432,0.291913831,0.40645815,24.043,53.42,23.3736,26.67165743,1.39173977
7,7291,9464,510,302.2962712,6408,1763,0.275124844,0.26010929,0.535234134,24.068667,27.63636364,25.15063636,27.78443586,1.826594096
8,7291,9464,595,301.856977,6408,1707,0.266385768,0.273181392,0.53956716,24.166429,26.05,18.30901262,20.56632816,2.018104392
9,7291,9464,680,304.922312,6409,1206,0.188172882,0.322565543,0.510738425,24.063529,33.88,22.79651766,25.96737337,1.652387419
10,,,,,6408,1123,0.175249688,0.357945676,0.533195364,23.648,23.55769231,17.99119231,22.31170465,2.045617861
11,7291,9464,1700,30.35214029,6408,2164,0.337702871,0.226314968,0.564017839,23.866316,21.27435897,18.30276623,18.0156595,2.188759618
12,7291,9464,1785,34.30164737,6408,2446,0.381710362,0.22584673,0.607557092,24.425588,23.67027027,14.41466297,17.05214508,2.17297798
13,7291,9464,1870,32.97184585,6407,2615,0.408147339,0.318557827,0.726705166,24.372813,27.806,21.17022506,21.18334726,2.241662518
14,7291,9464,1955,20.69060593,6409,1212,0.189109065,0.186758276,0.375867341,24.2975,31.268,18.91381413,19.04028065,2.077770828
15,,,,,6406,4660,0.727443022,0.048696738,0.77613976,23.837619,34.7,12.68566667,17.45196542,1.239163054
16,,,,,6409,2237,0.349040412,0.150663544,0.499703956,23.314211,25.37037037,23.58509753,26.17302987,1.963619823
17,7291,9464,1445,201.3165601,6408,846,0.132022472,0.062129254,0.194151726,23.652222,22.78333333,19.20505688,19.23996192,1.766476463
18,7291,9464,1530,282.719079,6407,1828,0.285312939,0.344257179,0.629570117,23.86,32.76170213,13.99803631,16.78691834,1.989806604
19,7291,9464,1615,303.0410421,6409,1755,0.273833671,0.272088667,0.545922338,23.996429,27.95,21.0833026,22.03653728,2.091496303
