TREE ID,Rue,SIGLE,Essence_latin,ESSENCE_ANG,DBH,Latitude,Longitude,Functional_Group,buffer_ID,SLA,SLA_weighted_PIVOT,SLA_weighted
4,Rue West Broadway                                           ,ACPL,Acer platanoides,Norway Maple,48,45.456823,-73.640629,2,1,31.121,32.28459045,32.28459045
1,Rue West Broadway                                           ,TICO,Tilia cordata,Littleleaf European Linden,70,45.456993,-73.641095,2,1,27.01,40.8623298,40.8623298
5,Rue West Broadway                                           ,TICO,Tilia cordata,Littleleaf European Linden,42,45.456765,-73.640491,2,1,27.01,24.51739788,24.51739788
6,Rue West Broadway                                           ,TICO,Tilia cordata,Littleleaf European Linden,58.9,45.456688,-73.640914,2,1,27.01,34.38273179,34.38273179
7,Rue West Broadway                                           ,TICO,Tilia cordata,Littleleaf European Linden,68.7,45.45675,-73.641082,2,1,27.01,40.10345796,40.10345796
9,Rue West Broadway                                           ,TICO,Tilia cordata,Littleleaf European Linden,70.9,45.456584,-73.640657,2,1,27.01,41.38770262,41.38770262
10,Rue West Broadway                                           ,TICO,Tilia cordata,Littleleaf European Linden,41.9,45.456625,-73.640755,2,1,27.01,24.45902313,24.45902313
3,Rue West Broadway                                           ,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,5,45.457029,-73.641196,2,1,26.5,2.86362654,2.86362654
8,Rue West Broadway                                           ,ACSA,Acer saccharinum,Silver Maple,57.3,45.456853,-73.641328,2,1,22.57217661,27.95300886,27.95300886
2,Rue West Broadway                                           ,GIBIPS,Ginkgo biloba 'Princeton Sentry',Princeton Sentry Maidenhair Tree,0,45.456921,-73.640893,1,1,18.051,0,0
11,Rue West Broadway                                           ,ACPL,Acer platanoides,Norway Maple,38,45.457114,-73.641397,2,2,31.121,25.5775869,25.5775869
12,Rue West Broadway                                           ,ACPL,Acer platanoides,Norway Maple,75,45.457155,-73.641499,2,2,31.121,50.48207941,50.48207941
13,Rue West Broadway                                           ,ACPL,Acer platanoides,Norway Maple,55.4,45.457271,-73.64181,2,2,31.121,37.28942932,37.28942932
15,Rue West Broadway                                           ,ACPL,Acer platanoides,Norway Maple,66.5,45.457343,-73.641992,2,2,31.121,44.76077707,44.76077707
16,Rue West Broadway                                           ,ACPL,Acer platanoides,Norway Maple,75.3,45.457235,-73.641704,2,2,31.121,50.68400772,50.68400772
19,Rue West Broadway                                           ,TICO,Tilia cordata,Littleleaf European Linden,75,45.456921,-73.641526,2,2,27.01,43.81353314,43.81353314
21,Rue West Broadway                                           ,TICO,Tilia cordata,Littleleaf European Linden,36.2,45.456992,-73.641714,2,2,27.01,21.14733199,21.14733199
